Common_name,Scientific_name,IUCN Rd Lst Status,General_continent,Description
Bourke's parrot,N. bourkii,LC ,Australia,"A purple parrot with a pink underside, blue-edged wings, and black wings with white-edged feathers"
Night parrot,P. occidentalis,EN ,Australia,"A green parrot with black-edged feathers and wing-tips, and a light green underside"
Eastern ground parrot,P. wallicus,LC ,Australia,"A green parrot with black-edged feathers and wing-tips, and a light green underside"
Western ground parrot,P. flaviventris,NE  ,Australia,"A green parrot with black-edged feathers and wing-tips, and a light green underside"
Madarasz's tiger parrot,P. madaraszi,LC ,Australia,None
Modest tiger parrot,P. modesta,LC ,Australia,None
Painted tiger parrot,P. picta,LC ,Australia,"A green parrot with a red forehead, a black face, blue eye-spots, an orange underside-of-the-tail, a yellow nape, and a light green belly, whose males have a blue chest and females have a yellow chest"
Brehm's tiger parrot,P. brehmii,LC ,Australia,"A green parrot with a dark green forehead, black-tipped feathers on the nape, and a light green underside"
Black lory,C. atra,LC ,Australia,A dark purple parrot with a yellow tail and a red underside-of-the-tail
Brown lory,C. duivenbodei,LC ,Australia,"A gray parrot with yellow marks above and below the beak, yellow streaks on the nape, and brown wings"
Yellowish-streaked lory,C. scintillata,LC ,Australia,"A green parrot with a red forehead, yellow streaks on the underside, and a brown underside"
Black-winged lory,E. cyanogenia,VU ,Australia,"A red parrot with blue cheeks extending to the eyes, black eye-spots and wings"
Violet-necked lory,E. squamata,LC ,Australia,"A red parrot with a violet neck and underside, and black eye-spots and wingtips"
Blue-streaked lory,E. reticulata,NT ,Australia,"A red parrot with a dark blue streak behind the eyes, dark blue eye-spots, and black-tipped wings"
Red-and-blue lory,E. histrio,EN ,Australia,"A red parrot with a blue chest, nape, and forehead"
Red lory,E. bornea,LC ,Australia,A red parrot with a blue underside-of-the-tail
Blue-eared lory,E. semilarvata,LC ,Australia,"A red parrot with black eye-spots, a dark blue streak behind the eyes, and black wingtips and shoulders"
Dusky lory,P. fuscata,LC ,Australia,A black parrot with orange stripes
Cardinal lory,P. cardinalis[h],LC ,Australia,A red parrot with black eye-spots
Ornate lorikeet,T. ornatus,LC ,Australia,"A green parrot with a black throat and forehead, red cheeks, and a yellow nape"
Rainbow lorikeet,T. moluccanus,LC ,Australia,"A green parrot with a yellow nape and spots on the legs, a red chest with black-tipped feathers, and a blue-purple face"
Sunset lorikeet,T. forsteni,NT ,Australia,"A green parrot with a black head and belly, a red chest, and a yellow nape"
Leaf lorikeet,T. weberi,NT ,Australia,A green parrot with a yellow-green chest and nape
Marigold lorikeet,T. capistratus,LC ,Australia,"A green parrot with a yellow chest, nape, and legs, and a blue forehead"
Coconut lorikeet,T. haematodus,LC ,Australia,"A green parrot with blue head and belly, and an yellow chest"
Biak lorikeet,T. rosenbergii,VU ,Australia,"A green parrot with a black head and underside, and a dark blue face"
Red-collared lorikeet,T. rubritorquis,LC ,Australia,"A green parrot with a blue head, an orange neck, and a black mark behind the nape and on the legs"
Olive-headed lorikeet,T. euteles,LC ,Australia,A green parrot with a yellow-green underside and a yellow head
Citrine lorikeet,T. flavoviridis,LC ,Australia,A green parrot with light-green stripes on the underside
Mindanao lorikeet,T. johnstoniae,NT ,Australia,"A green parrot with a red-brown area around the beak, a red-violet stripe going around the head over the eyes, and yellow-tipped feathers on the underside"
Pohnpei lorikeet,T. rubiginosus,NT ,Australia,A red-violet parrot with a yellow underside-of-the-tail
Scaly-breasted lorikeet,T. chlorolepidotus,LC ,Australia,A green parrot with yellow stripes on the underside
Varied lorikeet,P. versicolor,LC ,Australia,"A green parrot with yellow spots on the body excluding the wings, and a red forehead"
Iris lorikeet,P. iris,LC ,Australia,"A green parrot with a light green underside, a red forehead, and a violet mark behind the eyes"
Goldie's lorikeet,P. goldiei,LC ,Australia,"A green parrot with a light green underside, black-tipped wings, violet cheeks, a purple streak behind the eyes, and a red forehead"
Chattering lory,L. garrulus,VU ,Australia,A red parrot with green wings and ankles
Purple-naped lory,L. domicella,EN ,Australia,"A green parrot with a red head and underside, a black forehead, and a violet nape"
Black-capped lory,L. lory,LC ,Australia,"A red parrot with a black forehead, a purple belly, a blue underside-of-the-tail, a yellow tail, and green wings"
